Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
1750909978827354,00000100,false,Rx,0,8,6E,81,1B,51,76,03,39,40,00,00,00,00
1750909978828543,00000101,false,Rx,0,8,39,87,50,C2,D3,61,5E,40,00,00,00,00
1750909978828926,00000102,false,Rx,0,8,78,64,8D,94,E4,1A,41,40,00,00,00,00
1750909979327736,00000100,false,Rx,0,8,18,CC,5F,21,73,03,39,40,00,00,00,00
1750909979328112,00000101,false,Rx,0,8,E1,0A,28,D4,D3,61,5E,40,00,00,00,00
1750909979328295,00000102,false,Rx,0,8,00,00,00,00,00,40,40,40,00,00,00,00
1750909979828053,00000100,false,Rx,0,8,C2,16,A4,F1,6F,03,39,40,00,00,00,00
1750909979828858,00000101,false,Rx,0,8,39,87,50,C2,D3,61,5E,40,00,00,00,00
1750909979829335,00000102,false,Rx,0,8,11,37,E5,D6,36,CA,3E,40,00,00,00,00
1750909980327680,00000100,false,Rx,0,8,3A,81,B1,DA,6C,03,39,40,00,00,00,00
1750909980328406,00000101,false,Rx,0,8,5A,C4,54,8D,D3,61,5E,40,00,00,00,00
1750909980328978,00000102,false,Rx,0,8,8C,9C,26,5B,3B,49,3D,40,00,00,00,00
1750909980828044,00000100,false,Rx,0,8,35,60,90,F4,69,03,39,40,00,00,00,00
1750909980828746,00000101,false,Rx,0,8,08,E3,D0,36,D3,61,5E,40,00,00,00,00
1750909980829163,00000102,false,Rx,0,8,06,34,B2,CB,7C,2B,3C,40,00,00,00,00
1750909981328156,00000100,false,Rx,0,8,CD,4D,CD,55,67,03,39,40,00,00,00,00
1750909981328724,00000101,false,Rx,0,8,04,D7,65,C1,D2,61,5E,40,00,00,00,00
1750909981329069,00000102,false,Rx,0,8,9C,D3,0B,32,72,93,3B,40,00,00,00,00
1750909981827592,00000100,false,Rx,0,8,C4,C3,C9,12,65,03,39,40,00,00,00,00
1750909981828423,00000101,false,Rx,0,8,82,F4,A4,30,D2,61,5E,40,00,00,00,00
1750909981828726,00000102,false,Rx,0,8,9C,D3,0B,32,72,93,3B,40,00,00,00,00
1750909982327480,00000100,false,Rx,0,8,B3,93,1D,3D,63,03,39,40,00,00,00,00
1750909982328003,00000101,false,Rx,0,8,E8,2F,F4,88,D1,61,5E,40,00,00,00,00
1750909982328346,00000102,false,Rx,0,8,04,34,B2,CB,7C,2B,3C,40,00,00,00,00
1750909982827585,00000100,false,Rx,0,8,6E,0E,0E,E3,61,03,39,40,00,00,00,00
1750909982828139,00000101,false,Rx,0,8,A6,E7,6B,CF,D0,61,5E,40,00,00,00,00
1750909982828498,00000102,false,Rx,0,8,89,9C,26,5B,3B,49,3D,40,00,00,00,00
1750909983327513,00000100,false,Rx,0,8,F0,02,1F,0F,61,03,39,40,00,00,00,00
1750909983328183,00000101,false,Rx,0,8,45,42,AF,09,D0,61,5E,40,00,00,00,00
1750909983328599,00000102,false,Rx,0,8,0E,37,E5,D6,36,CA,3E,40,00,00,00,00
1750909983828127,00000100,false,Rx,0,8,51,F4,C0,C7,60,03,39,40,00,00,00,00
1750909983829153,00000101,false,Rx,0,8,EF,54,C0,3D,CF,61,5E,40,00,00,00,00
1750909983829812,00000102,false,Rx,0,8,FE,FF,FF,FF,FF,3F,40,40,00,00,00,00
1750909984327531,00000100,false,Rx,0,8,F0,02,1F,0F,61,03,39,40,00,00,00,00
1750909984328048,00000101,false,Rx,0,8,99,67,D1,71,CE,61,5E,40,00,00,00,00
1750909984328397,00000102,false,Rx,0,8,75,64,8D,94,E4,1A,41,40,00,00,00,00
1750909984827511,00000100,false,Rx,0,8,6E,0E,0E,E3,61,03,39,40,00,00,00,00
1750909984828194,00000101,false,Rx,0,8,38,C2,14,AC,CD,61,5E,40,00,00,00,00
1750909984828636,00000102,false,Rx,0,8,B8,B1,6C,52,62,DB,41,40,00,00,00,00
1750909985327469,00000100,false,Rx,0,8,B3,93,1D,3D,63,03,39,40,00,00,00,00
1750909985327980,00000101,false,Rx,0,8,F6,79,8C,F2,CC,61,5E,40,00,00,00,00
1750909985328303,00000102,false,Rx,0,8,FC,E5,26,9A,41,6A,42,40,00,00,00,00
1750909985827856,00000100,false,Rx,0,8,C4,C3,C9,12,65,03,39,40,00,00,00,00
1750909985828410,00000101,false,Rx,0,8,5C,B5,DB,4A,CC,61,5E,40,00,00,00,00
1750909985828794,00000102,false,Rx,0,8,31,16,FA,E6,46,B6,42,40,00,00,00,00
1750909986327632,00000100,false,Rx,0,8,CD,4D,CD,55,67,03,39,40,00,00,00,00
1750909986328224,00000101,false,Rx,0,8,DA,D2,1A,BA,CB,61,5E,40,00,00,00,00
1750909986328581,00000102,false,Rx,0,8,32,16,FA,E6,46,B6,42,40,00,00,00,00
1750909986827253,00000100,false,Rx,0,8,35,60,90,F4,69,03,39,40,00,00,00,00
1750909986827697,00000101,false,Rx,0,8,D6,C6,AF,44,CB,61,5E,40,00,00,00,00
1750909986828064,00000102,false,Rx,0,8,FF,E5,26,9A,41,6A,42,40,00,00,00,00
1750909987327396,00000100,false,Rx,0,8,3A,81,B1,DA,6C,03,39,40,00,00,00,00
1750909987328472,00000101,false,Rx,0,8,84,E5,2B,EE,CA,61,5E,40,00,00,00,00
1750909987328955,00000102,false,Rx,0,8,BD,B1,6C,52,62,DB,41,40,00,00,00,00
1750909987827544,00000100,false,Rx,0,8,C2,16,A4,F1,6F,03,39,40,00,00,00,00
1750909987827963,00000101,false,Rx,0,8,A5,22,30,B9,CA,61,5E,40,00,00,00,00
1750909987828387,00000102,false,Rx,0,8,7B,64,8D,94,E4,1A,41,40,00,00,00,00
1750909988327773,00000100,false,Rx,0,8,18,CC,5F,21,73,03,39,40,00,00,00,00
1750909988328303,00000101,false,Rx,0,8,FD,9E,58,A7,CA,61,5E,40,00,00,00,00
1750909988328661,00000102,false,Rx,0,8,04,00,00,00,00,40,40,40,00,00,00,00
1750909988827280,00000100,false,Rx,0,8,6E,81,1B,51,76,03,39,40,00,00,00,00
